! This file is used to collect the name and truncation information during database conversion.
! It help you to decide the which name should be given a better alias.
! You can modify the truncation name and then copy it to alias.dbs.
! Maximum name length is 60, maximum data amount is 1000. 
! File format: name  truncation
! e.g., abcdefghijkl abcde
cr(oh)3(h2po4)-                                                 cr(oh)3(h2po
nontronite(ca)                                                  nontronite(c
nontronite(k)                                                   nontronite(k
nontronite(mg)                                                  nontronite(m
nontronite(na)                                                  nontronite(n
philipsbornite                                                  philipsborni
phillipsite(ca)                                                 phillipsite(
phillipsite(k)                                                  phillipsite(
phillipsite(na)                                                 phillipsite(
phlogopite(na)                                                  phlogopite(n
plumbogummite                                                   plumbogummit
plumbonacrite                                                   plumbonacrit
pseudomalachite                                                 pseudomalach
pyromorphite(br)                                                pyromorphite
pyromorphite(cl)                                                pyromorphite
pyromorphite(f)                                                 pyromorphite
pyrope(alpha)                                                   pyrope(alpha
pyroxene(caal)                                                  pyroxene(caa
quartz(alpha)                                                   quartz(alpha
rhodochrosite                                                   rhodochrosit
rockbridgite(zn)                                                rockbridgite
saponite(feca)                                                  saponite(fec
saponite(fek)                                                   saponite(fek
saponite(femg)                                                  saponite(fem
saponite(fena)                                                  saponite(fen
schwertmannite                                                  schwertmanni
scorodite(am)                                                   scorodite(am
siderophyllite                                                  siderophylli
smectite(mx80)                                                  smectite(mx8
smectite(mx80:3.989h2o)                                         smectite(mx8
smectite(mx80:5.189h2o)                                         smectite(mx8
spessartine(alpha)                                              spessartine(
sphaerocobaltite                                                sphaerocobal
spingcreekite                                                   spingcreekit
sr5(po4)3(oh)                                                   sr5(po4)3(oh
sterlinghillite                                                 sterlinghill
straetlingite                                                   straetlingit
thermonatrite                                                   thermonatrit
tobermorite(11a)                                                tobermorite(
tobermorite(14a)                                                tobermorite(
vermiculite(ca)                                                 vermiculite(
vermiculite(k)                                                  vermiculite(
vermiculite(mg)                                                 vermiculite(
vermiculite(na)                                                 vermiculite(
westerveldite                                                   westerveldit
whitlockite(high)                                               whitlockite(
whitlockite(low)                                                whitlockite(
zn3(po4)2:2h2o                                                  zn3(po4)2:2h
zn3(po4)2:h2o                                                   zn3(po4)2:h2
