
THERMOK with O2(aq)          switched with H2(aq)         


THERMOK with SO3--           switched with SO4--


THERMOK with SO4--           switched with SO3--


THERMOK with S2O3--          switched with SO4--


THERMOK with SO4--           switched with S2O3--


THERMOK with S2O4--          switched with SO4--


THERMOK with SO4--           switched with S2O4--


THERMOK with HS-             switched with SO4--


THERMOK with SO4--           switched with HS-


THERMOK with Fe+++           switched with Fe++


THERMOK with Fe++            switched with Fe+++

 File format and data suitable for TOUGHREACT V2.3+ (YMP)
 May needs component switching to avoid overdefinitions


!end-of-header     Do not remove this record!
'Temperature points:'   8    0.01   25.00   60.00  100.00  150.00  200.00  250.00  300.00
'H2(aq)'                           0.00  0.00      2.016
'Hg(aq)'                           0.00  0.00    200.590
'Hg2++'                            2.80  2.00    401.180
'Ho++'                             2.80  2.00    164.930
'Ho++++'                           4.50  4.00    164.930
'I3-'                              1.81 -1.00    380.713
'IO-'                              1.81 -1.00    142.904
'IO3-'                             1.81 -1.00    174.903
'IO4-'                             1.81 -1.00    190.902
'La++'                             2.80  2.00    138.910
'Lu++++'                           4.50  4.00    174.970
'Mn+++'                            3.60  3.00     54.938
'MnO4--'                           3.00 -2.00    118.936
'MnO4-'                            1.81 -1.00    118.936
'N2(aq)'                           0.00  0.00     28.013
'NO2-'                             1.81 -1.00     46.006
'NO3-'                             2.81 -1.00     62.005
'Nd++'                             2.80  2.00    144.240
'Nd++++'                           4.50  4.00    144.240
'H2O2(aq)'                         0.00  0.00     34.015
'PH3(aq)'                          0.00  0.00     33.998
'H2PO2-'                           1.81 -1.00     64.989
'H2PO3-'                           1.81 -1.00     80.988
'Pm++'                             2.80  2.00    144.913
'Pm++++'                           4.50  4.00    144.913
'Pr++'                             2.80  2.00    140.907
'Pr++++'                           4.50  4.00    140.907
'Rh+++'                            3.60  3.00    102.905
'Ru++'                             2.80  2.00    101.070
'Ru+++'                            3.60  3.00    101.070
'SO4--'                            3.15 -2.00     96.062   !switched
'SO4--'                            3.15 -2.00     96.062   !switched
'SO4--'                            3.15 -2.00     96.062   !switched
'SO4--'                            3.15 -2.00     96.062   !switched
'S2O6--'                           3.00 -2.00    160.124
'S2O8--'                           3.00 -2.00    192.123
'HSO5-'                            1.81 -1.00    113.069
'HSe-'                             1.81 -1.00     79.968
'SeO4--'                           3.00 -2.00    142.958
'Sm++'                             2.80  2.00    150.350
'Sm++++'                           4.50  4.00    150.350
'Tb++'                             2.80  2.00    158.924
'Tb++++'                           4.50  4.00    158.924
'Tl+++'                            3.77  3.00    204.370
'Tm++'                             2.80  2.00    168.934
'Tm++++'                           4.50  4.00    168.934
'U+++'                             3.60  3.00    238.030
'U++++'                            4.50  4.00    238.030
'UO2+'                             2.31  1.00    270.029
'V++'                              2.80  2.00     50.942
'V+++'                             3.60  3.00     50.942
'VO2+'                             2.31  1.00     82.941
'Yb++'                             2.80  2.00    173.040
'Yb++++'                           4.50  4.00    173.040
'null'   0.  0.
'Ag++'                            107.870  2.80  2.00    3   1.0000 'Ag+'  1.0000 'H+'  -0.5000 'H2(aq)'
'Ag++'                                37.7402   35.1632   32.1877   29.4628   26.7865   24.6968   23.0423   21.7257
'Ag++'                           -0.21721077E+02    0.14080761E+03    0.24351979E-01    0.23623525E+04    0.26034780E+06
'H2AsO3-'                         124.936  1.81 -1.00    3   1.0000 'H2AsO4-'  -1.0000 'H2O'  1.0000 'H2(aq)'
'H2AsO3-'                            -16.9096  -15.5367  -13.9058  -12.3619  -10.7807   -9.4772   -8.3701   -7.3927
'H2AsO3-'                        -0.22611015E+02    0.14376998E+03    0.23978579E-01   -0.13281478E+05    0.61495271E+06
'AsH3(aq)'                         77.946  0.00  0.00    4   1.0000 'H2AsO4-'  1.0000 'H+'  -4.0000 'H2O'  4.0000 'H2(aq)'
'AsH3(aq)'                           -35.0650  -32.4161  -29.2777  -26.3158  -23.3043  -20.8615  -18.8518  -17.1938
'AsH3(aq)'                        0.34996408E+02   -0.22335504E+03   -0.30420190E-01    0.13899540E+04   -0.35975110E+06
'Au+++'                           196.967  3.72  3.00    3   1.0000 'Au+'  2.0000 'H+'  -1.0000 'H2(aq)'
'Au+++'                               53.8628   50.4282   46.4108   42.6735   38.9401   35.9771   33.5995   31.6834
'Au+++'                          -0.42725206E+02    0.27832381E+03    0.42861509E-01   -0.71469000E+03    0.45802870E+06
'Br3-'                            239.727  1.81 -1.00    3   3.0000 'Br-'  2.0000 'H+'  -1.0000 'H2(aq)'
'Br3-'                                42.5705   39.0080   34.6116   30.2826   25.6372   21.5767   17.8607   14.2054
'Br3-'                            0.26856525E+03   -0.17047873E+04   -0.27504016E+00    0.10863496E+06   -0.61096196E+07
'BrO-'                             95.908  1.81 -1.00    3   1.0000 'Br-'  1.0000 'H2O'  -1.0000 'H2(aq)'
'BrO-'                                61.9219   56.9881   51.2694   45.9861   40.7137   36.4886   33.0097   30.0681
'BrO-'                            0.15613231E+02   -0.95066920E+02   -0.19257048E-01    0.21959039E+05   -0.42766381E+06
'BrO3-'                           127.907  1.81 -1.00    3   1.0000 'Br-'  3.0000 'H2O'  -3.0000 'H2(aq)'
'BrO3-'                              169.7105  155.3586  138.7136  123.3361  107.9940   95.6985   85.5649   76.9717
'BrO3-'                           0.74690361E+02   -0.47510720E+03   -0.81906271E-01    0.74776058E+05   -0.19081084E+07
'BrO4-'                           143.907  1.81 -1.00    3   1.0000 'Br-'  4.0000 'H2O'  -4.0000 'H2(aq)'
'BrO4-'                              237.5042  217.3898  194.0453  172.4680  150.9334  133.6712  119.4437  107.3816
'BrO4-'                           0.10590995E+03   -0.67558815E+03   -0.11509823E+00    0.10589946E+06   -0.27841911E+07
'CO(aq)'                           28.011  0.00  0.00    4  -2.0000 'H2O'  1.0000 'HCO3-'  1.0000 'H+'  1.0000 'H2(aq)'
'CO(aq)'                              -4.3965   -4.3548   -4.4633   -4.7116   -5.1285   -5.6286   -6.2120   -6.9292
'CO(aq)'                          0.11088806E+03   -0.71064717E+03   -0.11200198E+00    0.41154035E+05   -0.26790120E+07
'CH4(aq)'                          16.043  0.00  0.00    4   1.0000 'HCO3-'  1.0000 'H+'  -3.0000 'H2O'  4.0000 'H2(aq)'
'CH4(aq)'                            -43.9650  -40.1684  -35.7281  -31.5786  -27.3928  -24.0173  -21.2500  -18.9706
'CH4(aq)'                         0.54201338E+02   -0.34405844E+03   -0.45570860E-01    0.55226840E+04   -0.87669060E+06
'Ce++'                            140.120  2.80  2.00    3  -1.0000 'H+'  1.0000 'Ce+++'  0.5000 'H2(aq)'
'Ce++'                                68.5443   62.0134   54.4832   47.5769   40.7392   35.2969   30.8376   27.0966
'Ce++'                            0.23749317E+02   -0.15820606E+03   -0.26419594E-01    0.29269130E+05   -0.47887996E+06
'Ce++++'                          140.120  4.50  4.00    3   1.0000 'Ce+++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Ce++++'                              32.9716   31.0782   28.7470   26.4781   24.1124   22.1534   20.5149   19.1262
'Ce++++'                         -0.32073030E+01    0.22412505E+02    0.32864270E-02    0.97661672E+04   -0.60422251E+06
'ClO-'                             51.452  1.81 -1.00    3   1.0000 'Cl-'  1.0000 'H2O'  -1.0000 'H2(aq)'
'ClO-'                                66.6089   61.1603   54.8527   49.0304   43.2239   38.5729   34.7443   31.5081
'ClO-'                            0.15090025E+02   -0.92310650E+02   -0.19656180E-01    0.23169638E+05   -0.38714361E+06
'ClO2-'                            67.452  1.81 -1.00    3   1.0000 'Cl-'  2.0000 'H2O'  -2.0000 'H2(aq)'
'ClO2-'                              125.8335  115.2384  102.9543   91.6063   80.2842   71.2110   63.7371   57.4107
'ClO2-'                           0.43196967E+02   -0.27345770E+03   -0.49854593E-01    0.50755142E+05   -0.11368898E+07
'ClO2(aq)'                         67.452  0.00  0.00    4   2.0000 'H2O'  1.0000 'Cl-'  1.0000 'H+'  -2.5000 'H2(aq)'
'ClO2(aq)'                           147.6183  134.8083  119.9213  106.0987   92.1974   80.9290   71.4945   63.2858
'ClO2(aq)'                        0.14338390E+03   -0.90591701E+03   -0.15893198E+00    0.91103993E+05   -0.30567080E+07
'ClO3-'                            83.451  1.81 -1.00    3   1.0000 'Cl-'  3.0000 'H2O'  -3.0000 'H2(aq)'
'ClO3-'                              169.9459  155.4626  138.6502  123.1018  107.5710   95.1078   84.8227   76.0900
'ClO3-'                           0.75719493E+02   -0.48272619E+03   -0.84125247E-01    0.75720641E+05   -0.19656337E+07
'ClO4-'                            99.451  3.59 -1.00    3   1.0000 'Cl-'  4.0000 'H2O'  -4.0000 'H2(aq)'
'ClO4-'                              218.6834  200.0953  178.5067  158.5269  138.5524  122.5084  109.2565   97.9938
'ClO4-'                           0.96348572E+02   -0.61316945E+03   -0.10845388E+00    0.96911758E+05   -0.25239286E+07
'Co+++'                            58.933  3.60  3.00    3   1.0000 'Co++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Co+++'                               35.0232   32.8303   30.3042   27.9891   25.7117   23.9308   22.5188   21.3848
'Co+++'                          -0.17320395E+02    0.11605223E+03    0.18950189E-01    0.21746035E+04    0.22398496E+06
'Cr++'                             51.996  2.80  2.00    4  -4.0000 'H2O'  1.0000 'CrO4--'  4.0000 'H+'  2.0000 'H2(aq)'
'Cr++'                               -79.7942  -73.0881  -65.4976  -58.6820  -52.1202  -47.1004  -43.2161  -40.2677
'Cr++'                            0.12632048E+03   -0.80165362E+03   -0.12755258E+00    0.23330717E+05   -0.27888866E+07
'Cr+++'                            51.996  3.60  3.00    4  -4.0000 'H2O'  1.0000 'CrO4--'  5.0000 'H+'  1.5000 'H2(aq)'
'Cr+++'                              -86.9590  -78.8068  -69.5684  -61.2586  -53.2266  -47.0315  -42.1664  -38.3757
'Cr+++'                           0.11016637E+03   -0.69251241E+03   -0.10915964E+00    0.14330493E+05   -0.26214700E+07
'Cu+'                              63.540  1.90  1.00    3  -1.0000 'H+'  1.0000 'Cu++'  0.5000 'H2(aq)'
'Cu+'                                 -3.9931   -4.2758   -4.5659   -4.7963   -4.9940   -5.1386   -5.2636   -5.3886
'Cu+'                             0.23044797E+02   -0.15131583E+03   -0.22520890E-01    0.76426485E+04   -0.28256107E+06
'Dy++'                            162.500  2.80  2.00    3  -1.0000 'H+'  1.0000 'Dy+++'  0.5000 'H2(aq)'
'Dy++'                                43.9401   39.4368   34.2685   29.5497   24.8968   21.2044   18.1819   15.6449
'Dy++'                            0.20455808E+02   -0.13678863E+03   -0.22412963E-01    0.20790697E+05   -0.29988038E+06
'Dy++++'                          162.500  4.50  4.00    3   1.0000 'Dy+++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Dy++++'                              83.2002   77.0376   69.8453   63.1727   56.5093   51.1909   46.8579   43.2625
'Dy++++'                         -0.69222720E+01    0.46789655E+02    0.74466110E-02    0.21397135E+05   -0.38211476E+06
'Er++'                            167.260  2.80  2.00    3  -1.0000 'H+'  1.0000 'Er+++'  0.5000 'H2(aq)'
'Er++'                                53.8824   48.5262   42.3719   36.7469   31.1962   26.7907   23.1877   20.1694
'Er++'                            0.20089842E+02   -0.13483995E+03   -0.22260652E-01    0.23572292E+05   -0.31315197E+06
'Er++++'                          167.260  4.50  4.00    3   1.0000 'Er+++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Er++++'                             106.2887   98.1480   88.6802   79.9249   71.2066   64.2632   58.6122   53.9260
'Er++++'                         -0.71711730E+01    0.47893745E+02    0.73966310E-02    0.27808592E+05   -0.38786203E+06
'Eu++'                            151.960  2.80  2.00    3  -1.0000 'H+'  1.0000 'Eu+++'  0.5000 'H2(aq)'
'Eu++'                                 5.6710    4.3992    2.9293    1.5784    0.2307   -0.8621   -1.7868   -2.5961
'Eu++'                            0.22468780E+02   -0.15002195E+03   -0.24190730E-01    0.11338169E+05   -0.39229961E+06
'Eu++++'                          151.960  4.50  4.00    3   1.0000 'Eu+++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Eu++++'                             114.6088  105.8445   95.6544   86.2341   76.8566   69.3903   63.3150   58.2774
'Eu++++'                         -0.71174680E+01    0.47997855E+02    0.74666700E-02    0.30078255E+05   -0.41870469E+06
'Fe+++'                            55.847  3.46  3.00    3   1.0000 'Fe++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Fe+++'                               15.1576   14.5428   13.8143   13.1275   12.4383   11.8974   11.4779   11.1558
'Fe+++'                          -0.16514333E+02    0.10967802E+03    0.17626321E-01   -0.24312775E+04    0.16502076E+06
'Gd++'                            157.250  2.80  2.00    3  -1.0000 'H+'  1.0000 'Gd+++'  0.5000 'H2(aq)'
'Gd++'                                69.9028   63.3407   55.7992   48.9048   42.1028   36.7097   32.3078   28.6292
'Gd++'                            0.20554305E+02   -0.13645457E+03   -0.22545719E-01    0.27795353E+05   -0.33948040E+06
'Gd++++'                          157.250  4.50  4.00    3   1.0000 'Gd+++'  1.0000 'H+'  -0.5000 'H2(aq)'
'Gd++++'                             137.9895  127.4029  115.1256  103.8040   92.5607   83.6281   76.3712   70.3608
'Gd++++'                         -0.72366030E+01    0.50384485E+02    0.78712360E-02    0.35910893E+05   -0.40382914E+06
'O2(aq)'                           31.999  0.00  0.00    2  -2.0000 'H2(aq)'  2.0000 'H2O'
'O2(aq)'                             100.8872   92.1438   81.8800   72.2846   62.5940   54.7300   48.1708   42.5362
'O2(aq)'                          0.67237736E+02   -0.43353438E+03   -0.73708780E-01    0.55845578E+05   -0.20217612E+07
'Hg(aq)'                          200.590  0.00  0.00    3  -2.0000 'H+'  1.0000 'Hg++'  1.0000 'H2(aq)'
'Hg(aq)'                             -27.9423  -25.4247  -22.6617  -20.2433  -17.9738  -16.2874  -15.0214  -14.0768
'Hg(aq)'                          0.48551989E+02   -0.31071166E+03   -0.48266659E-01    0.11588640E+05   -0.14064762E+07
'Hg2++'                           401.180  2.80  2.00    3  -2.0000 'H+'  2.0000 'Hg++'  1.0000 'H2(aq)'
'Hg2++'                              -36.5570  -33.8697  -30.7130  -27.7507  -24.7530  -22.3333  -20.3519  -18.7177
'Hg2++'                           0.37154864E+02   -0.23962020E+03   -0.32049386E-01    0.27690680E+04   -0.50443650E+06
'Ho++'                            164.930  2.80  2.00    3  -1.0000 'H+'  1.0000 'Ho+++'  0.5000 'H2(aq)'
'Ho++'                                50.7872   45.7407   39.9448   34.6496   29.4256   25.2799   21.8884   19.0453
'Ho++'                            0.20387678E+02   -0.13605969E+03   -0.22476371E-01    0.22608404E+05   -0.31007678E+06
'Ho++++'                          164.930  4.50  4.00    3   1.0000 'H+'  1.0000 'Ho+++'  -0.5000 'H2(aq)'
'Ho++++'                             105.4994   97.4883   88.1711   79.5550   70.9755   64.1430   58.5831   53.9731
'Ho++++'                         -0.73846490E+01    0.50043745E+02    0.76592230E-02    0.27276763E+05   -0.37789864E+06
'I3-'                             380.713  1.81 -1.00    3   2.0000 'H+'  3.0000 'I-'  -1.0000 'H2(aq)'
'I3-'                                 23.0695   21.3499   19.0665   16.6537   13.8735   11.2652    8.7090    5.9991
'I3-'                             0.25953229E+03   -0.16426684E+04   -0.26926163E+00    0.98911004E+05   -0.58801833E+07
'IO-'                             142.904  1.81 -1.00    3   1.0000 'I-'  1.0000 'H2O'  -1.0000 'H2(aq)'
'IO-'                                 50.6657   46.9752   42.7035   38.7566   34.8148   31.6539   29.0506   26.8482
